,书名,价格,作者,出版日期,出版社,评分,评论内容,评论数,链接
267,如何阅读一本文学书,39,"[美] 托马斯·福斯特 , 王爱燕 ", 2016-2-1 , 南海出版公司 ,8.5,遇到这本书之前，你并不知道你会爱上文学美国密歇根大学最受欢迎的文学公开课美国常春藤大学指定读物    位居美国亚马逊畅销榜超过8年《如何阅读一本小说》...,1630,https://book.douban.com/subject/26676528/
268,在细雨中呼喊,25,余华 , 2012-11-1 , 作家出版社 ,8.5,《在细雨中呼喊》是二十世纪九十年代的经典文本，是余华的第一部长篇力作。小说描述了一位江南少年的成长经历和心灵历程。《在细雨中呼喊 》的结构来自于对时间的感受...,8014,https://book.douban.com/subject/20421947/
269,荒原狼,13,"[德]赫尔曼·黑塞 , 赵登荣、倪诚恩 ", 2008-7 , 上海译文出版社 ,9.0,小说的主人公哈勒尔是个正直的作家，他鄙视现代社会生活方式，常常闭门不出，令人窒息的空气使他陷于精神分裂的境地。一天他偶尔读到一本《评荒原狼》的小书，顿觉大梦...,6752,https://book.douban.com/subject/3131626/
270,金锁记,13,张爱玲 , 2005-6 , 哈尔滨出版社 ,8.5,《金锁记》写于1943年，小说描写了一个小商人家庭出身的女子曹七巧的心灵变迁历程。七巧做过残疾人的妻子，欲爱而不能爱，几乎像疯子一样在姜家过了30年。在财欲...,38207,https://book.douban.com/subject/3017857/
271,倚天屠龙记(共四册),47,金庸 , 1999-04 , 三联书店 ,8.6,《倚天屠龙记》，金庸武侠小说，著于1961年，是“射雕三部曲”系列第三部，现收录在《金庸作品集》中。该书以元末群雄纷起、江湖动荡为广阔背景，叙述武当弟子张无...,35250,https://book.douban.com/subject/1070851/
272,罗生门,38,"[日]芥川龙之介 , 林皎碧 ", 2017-8 , 江苏凤凰文艺出版社 ,8.5,《罗生门》日本文坛的“鬼才”、“短篇小说之神”芥川龙之介擅长描写人物性格与玄妙的心理转折，笔锋犀利简洁，常一针见血藉作品暗讽社会丑恶现象。受家庭教养影响，芥...,3878,https://book.douban.com/subject/27091211/
273,罪与罚,23,"[俄] 陀思妥耶夫斯基 , 岳麟 ", 2006-8 , 上海译文出版社 ,9.1,《罪与罚》系19世纪俄国大文豪陀思妥耶夫斯基的代表作之一。小说描写一心想成为拿破仑式的人物、认定自己是个超人的穷大学生拉斯柯尔尼科夫，受无政府主义思想毒害，...,6490,https://book.douban.com/subject/1858568/
274,雾都孤儿,10,"[英]狄更斯 , 荣如德 ", 1991-7 , 上海译文出版社 ,8.1,孤儿奥立弗・退斯特从小在贫民习艺所受尽欺凌，逃到伦敦后又陷入贼窟。身边的世界像一台疯狂运转的机器，小奥立弗却努力坚守着心底深处的纯净与高贵。这份执著终于帮他...,23975,https://book.douban.com/subject/1203251/
275,NULL,36,张嘉佳 , 2013-11-1 , 湖南文艺出版社 ,7.0,"《从你的全世界路过》是微博上最会写故事的人张嘉佳献给你的心动故事。最初以“睡前故事”系列的名义在网上疯狂流传，几天内达到1,500,000 次转发，超4亿...",93494,https://book.douban.com/subject/25747921/
276,当我们谈论爱情时我们在谈论什么,22,"[美] 雷蒙德·卡佛 , 小二 ", 2010-1 , 译林出版社 ,7.8,《当我们谈论爱情时我们在谈论什么》出版于1981年，是雷蒙德•卡佛的成名之作，同时也是其最负盛名的代表作。本书由十七篇短篇小说组成，讲述了如餐馆女招待、锯木...,37077,https://book.douban.com/subject/4010969/
277,妻妾成群,23,苏童 , 2004-8 , 上海文艺出版社 ,8.2,《妻妾成群》借旧中国特有的封建家庭模式作小说的框架，一个男人娶了四个女人做太太。但作者关心的不是一个男人如何在四个女人中周旋，如何控制她们，而是关心四个女人...,25855,https://book.douban.com/subject/1025753/
278,第一炉香,11,张爱玲 , 1997-3 , 花城出版社 ,8.4,沉香屑---第一炉香  沉香屑---第二炉香  茉莉香片  心经  封锁  琉璃瓦  年轻的时候  花凋   中国的日夜,25318,https://book.douban.com/subject/1082162/
279,马尔多罗之歌,68,"[法] 洛特雷阿蒙 , 车槿山 ", 2018-10 , 后浪丨四川文艺出版社 ,9.1,天才、有罪的少年，美与邪恶的混合体，几代大师膜拜的偶像，留给世人的唯一一部奇书中的奇书◎ 编辑推荐☆《马尔多罗之歌》是法国诗人洛特雷阿蒙的天才之...,411,https://book.douban.com/subject/30329883/
280,雪落香杉树,52,"[美] 戴维·伽特森 , 熊裕 ", 2017-6 , 全本书店|作家出版社 ,8.4,编辑推荐:1995福克纳奖得主占据《纽约时报》畅销榜首数月美国书商协会年度之选被译成30余种文字，全球畅销500万册当代美国文学史上罕见的超级畅销...,5914,https://book.douban.com/subject/5431784/
281,苏东坡传,24,"林语堂 , 张振玉 ", 2006-5 , 陕西师范大学出版社 ,8.4,《苏东坡传》是林语堂最得意的作品，中国现代长篇传记开标立范之作。苏东坡是一个无可救药的乐天派、一个伟大的人道主义者、一个百姓的朋友、一个大文豪、大书法家、...,14573,https://book.douban.com/subject/1792668/
282,NULL,29,张爱玲 , 2012-6-1 ," 北京出版集团公司,北京十月文艺出版社 ",8.7,传奇里的倾国倾城的人大抵如此。到处都是传奇，可不见得有这么圆满的收场。胡琴咿咿哑哑拉着，在万盏灯的夜晚，拉过来又拉过去，说不尽的苍凉的故事——不问也罢！...,14195,https://book.douban.com/subject/10757940/
283,海风中失落的血色馈赠,20,"[加拿大] 阿利斯泰尔·麦克劳德 , 陈以侃 ", 2015-6-1 , 上海世纪出版股份有限公司 ,9.0,《海风中失落的血色馈赠》所收入的七个故事，有少年渴望摆脱家族在海岛世代挖煤的命运而在成年之际离家远行，有人到中年的大学教师回忆少年时他那心怀壮志但困居海岛打...,5534,https://book.douban.com/subject/26357614/
284,小说机杼,28,"[英] 詹姆斯·伍德 , 黄远帆 ", 2015-8-1 , 河南大学出版社 ,9.1,秉承E.M.福斯特《小说面面观》和米兰•昆德拉《小说的艺术》的传统，《小说机杼》是一部研究小说魔力的神奇之作——分析其主要元素，颂扬其持久动力。书中对我们这...,1212,https://book.douban.com/subject/26394876/
285,活着，就要无声炸裂,39,南顾 , 2019-3-6 , 天地出版社 ,8.5,这是一本让年轻人小宇宙爆发的力量之书。人气博主南顾用自己的亲身经历写下颠沛流离的青春、肆意行走的人生路。她曾流浪在北京，有过比食不果腹更艰难的时刻；她写下...,84,https://book.douban.com/subject/30463817/
